#logical cores: 128
Parallel load (N=5000000, theta=0.99):
#threads;tbb::concurrent_hash_map;gtl::parallel_flat_hash_map;boost::concurrent_flat_map
1;13.8876;19.3261;24.0804
2;11.8712;12.8458;23.1342
3;15.472;15.9189;30.5619
4;17.3334;17.5524;35.3272
5;19.6493;19.7543;41.7741
6;21.196;22.0364;47.5816
7;23.2607;24.1869;53.6069
8;25.002;26.2542;58.7836
9;27.2062;28.3695;64.2065
10;29.3677;30.6867;69.6823
11;31.5552;32.5127;74.6254
12;33.6599;34.5135;79.53
13;35.7498;36.6249;85.5134
14;37.7082;38.3681;90.1435
15;40.2338;39.4668;89.9048
16;41.9354;41.0006;91.011
17;43.4336;42.1025;93.2861
18;45.0078;43.0072;95.7793
19;46.6944;44.394;95.7205
20;48.1447;45.9359;95.9206
21;49.6989;47.4418;98.9147
22;51.4581;48.452;100.833
23;52.9874;49.3664;96.8516
24;54.5087;51.0596;89.3521
25;55.8504;50.8069;84.3992
26;57.3541;50.1442;83.9498
27;58.9025;50.1021;82.4959
28;60.1156;48.5634;80.0736
29;61.1873;48.7763;79.4491
30;62.2705;48.4864;79.3172
31;63.6586;48.5161;79.2124
32;64.8184;48.2265;78.346
33;65.4598;47.8967;77.732
34;66.1577;47.4365;77.8583
35;67.9131;47.3835;78.0021
36;69.0417;47.1528;76.8781
37;69.8548;47.4441;76.3846
38;70.3756;46.9802;76.8893
39;71.4683;46.5967;77.3591
40;72.0109;46.2354;77.4432
41;72.8409;46.7498;76.5653
42;73.9229;46.1788;76.9143
43;74.2254;46.6487;75.5805
44;74.9729;46.5082;75.773
45;76.1324;45.9299;74.7952
46;76.8;46.8269;75.1603
47;76.4364;45.6849;75.0419
48;78.1623;46.1834;74.253
49;78.0938;46.2485;72.6598
50;78.0123;45.9719;71.9468
51;79.3591;46.0525;72.9065
52;79.0889;46.0132;72.6103
53;80.026;45.9266;71.2153
54;81.0806;46.32;71.0142
55;80.54;46.0848;70.9211
56;81.697;46.2835;69.6396
57;81.8675;46.0901;69.7039
58;82.61;45.913;67.4874
59;83.2718;46.065;68.6359
60;81.6616;45.7822;67.8826
61;83.3644;45.7643;67.5421
62;83.519;45.7049;66.7436
63;84.1447;45.7156;67.2384
64;84.7374;46.1942;65.6518
65;84.5144;46.159;64.8693
66;84.6316;46.0556;66.3342
67;84.6942;46.398;64.9539
68;85.1508;46.2552;65.236
69;85.0601;46.2021;64.4956
70;85.4939;45.9925;63.8994
71;85.4256;46.2757;62.8521
72;85.5405;46.2634;63.2567
73;85.7005;46.1008;63.4001
74;85.5255;46.2811;63.3925
75;86.09;46.0894;61.7685
76;85.8674;46.367;62.7365
77;85.9224;45.7891;61.8222
78;86.243;46.8769;61.1453
79;87.4452;46.4092;60.1464
80;86.8408;46.2857;60.4645
81;85.0047;46.5346;60.3204
82;86.4953;45.9574;60.6441
83;84.3042;46.2038;60.5083
84;84.2065;46.4444;59.5521
85;86.3586;45.9447;59.321
86;85.0021;46.0446;60.9084
87;84.4957;46.1149;59.2969
88;84.7638;45.9057;58.3782
89;82.9282;46.3122;59.3506
90;81.1768;46.0668;58.8116
91;81.8739;45.8959;58.0815
92;82.5359;46.0538;57.6059
93;83.0351;46.2572;58.8381
94;80.7403;46.473;58.098
95;80.5905;46.0272;58.6133
96;80.6985;45.9576;58.1019
97;77.9053;45.9779;58.8278
98;79.1157;45.8901;58.2924
99;77.9785;46.2297;58.1387
100;78.275;46.4246;56.852
101;76.8628;46.2718;58.5293
102;76.9511;46.0603;57.5608
103;77.2607;46.299;58.9469
104;75.1754;46.2744;58.1211
105;75.8397;45.9306;56.2585
106;74.5004;46.0871;57.2335
107;73.0836;45.9119;55.645
108;74.927;46.0022;56.433
109;73.682;45.9891;57.2217
110;73.0825;46.1152;55.0026
111;74.2911;46.1474;56.5509
112;73.6847;45.8651;56.6232
113;74.4771;45.9155;57.2564
114;73.3299;46.1202;58.0291
115;72.3918;46.2197;56.9171
116;73.1983;45.8992;56.8738
117;73.0873;45.9542;56.3374
118;72.5948;45.9863;53.7935
119;70.7129;45.9757;54.6908
120;73.7354;46.0181;59.7545
121;73.0558;45.9148;54.2678
122;72.1982;45.8644;60.7213
123;71.7809;45.9242;55.449
124;74.1282;45.8204;62.3101
125;70.4814;45.8479;58.2643
126;71.8908;45.9344;51.4428
127;76.5391;45.7237;48.5604
128;75.9673;45.6821;51.1978
